image_urls,image_name,images
https://static.bershka.net/4/photos2/2022/I/0/1/p/3711/419/800/3711419800_1_1_3.jpg?t=1662382001237,Cateye_sunglasses_Black_0,"[{'url': 'https://static.bershka.net/4/photos2/2022/I/0/1/p/3711/419/800/3711419800_1_1_3.jpg?t=1662382001237', 'path': 'Cateye_sunglasses_Black_0.jpg', 'checksum': 'ef095567f46a51ab4ce2093c03c42a10', 'status': 'downloaded'}]"
https://static.bershka.net/4/photos2/2022/I/0/1/p/3711/419/800/3711419800_2_1_3.jpg?t=1631610819491,Cateye_sunglasses_Black_1,"[{'url': 'https://static.bershka.net/4/photos2/2022/I/0/1/p/3711/419/800/3711419800_2_1_3.jpg?t=1631610819491', 'path': 'Cateye_sunglasses_Black_1.jpg', 'checksum': '46bdebf687ca8be544d3f4aac099fe9a', 'status': 'downloaded'}]"
https://static.bershka.net/4/photos2/2022/I/0/1/p/3711/419/800/3711419800_2_2_3.jpg?t=1631610819491,Cateye_sunglasses_Black_2,"[{'url': 'https://static.bershka.net/4/photos2/2022/I/0/1/p/3711/419/800/3711419800_2_2_3.jpg?t=1631610819491', 'path': 'Cateye_sunglasses_Black_2.jpg', 'checksum': '1ad2d564a45cfc835b1e85f325819907', 'status': 'downloaded'}]"
